Peureuse,Gregaire,Kamikaze,Prevoyante,Multiple
1,2,5,13,5
1,2,5,13,5
1,2,5,13,5
1,2,5,13,5
1,2,5,13,5
1,2,5,13,5
1,2,5,13,5
1,2,5,13,5
1,2,5,13,5
1,2,5,13,5
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,12,4
1,2,5,11,3
1,2,4,11,3
1,2,4,11,3
1,2,4,11,3
1,2,4,11,3
1,2,4,11,3
1,2,4,11,3
1,2,4,11,3
1,2,4,11,3
1,2,4,11,3
1,2,4,11,3
1,2,4,11,3
1,2,4,11,3
1,2,4,11,3
1,2,4,11,3
1,2,4,11,3
1,2,4,11,3
1,2,4,11,3
1,2,4,11,3
1,2,4,11,3
2,2,4,11,3
2,2,4,11,3
2,2,4,11,3
2,2,4,11,3
2,2,4,11,3
2,2,4,11,3
2,2,4,11,3
2,2,4,11,3
2,2,4,11,3
2,2,4,11,3
2,2,3,10,3
2,2,3,10,3
2,2,3,10,3
2,2,3,10,3
2,2,3,10,3
2,2,2,10,3
2,2,2,10,3
2,2,2,10,3
2,2,2,10,3
2,2,2,10,3
2,2,2,10,3
2,2,2,10,3
2,2,2,10,3
2,2,2,10,3
2,2,2,10,3
2,2,2,10,3
2,2,2,10,3
2,2,2,10,3
2,2,2,10,3
2,2,2,10,3
2,2,2,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
2,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,3
3,2,0,10,4
3,2,0,10,4
3,2,0,10,4
3,2,0,10,4
3,2,0,10,4
3,2,0,10,4
3,2,0,10,4
3,2,0,10,4
3,2,0,10,4
3,2,0,10,4
3,2,0,10,4
3,2,0,10,4
3,2,0,10,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,4
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
3,2,0,9,5
